desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Categories
#ezgomenu start,,,,
#辦公,,,,
openoffice.org-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,Office;
openoffice.org-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,Office;
openoffice.org-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,Office;
openoffice.org-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,Office;
openoffice.org-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,Office;
libreoffice-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,Office;
libreoffice-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,Office;
libreoffice-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,Office;
libreoffice-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,Office;
libreoffice-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,Office;
libreoffice-startcenter.desktop,整合應用_LibreOffice,LibreOffice 的入口,整合應用_LibreOffice,Office;
scribus.desktop,排版軟體_Scribus,適合用於雜誌，報紙等印刷品編輯設計的出版軟體,排版軟體_Scribus,Office;
dia-common.desktop,辧公室製圖_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,辧公室製圖_Dia,Office;
dia.desktop,圖表繪製_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,圖表繪製_Dia,Office;
pencil.desktop,圖表繪製_Pencil,圖表繪製軟體,圖表繪製_Pencil,Office;
freeplane.desktop,心智圖_FreePlane,可輕鬆繪製心智圖的工具軟體,心智圖_FreePlane,Office;
xmind.desktop,心智圖_XMind,可輕鬆繪製心智圖、組織圖、魚骨圖的工具軟體,心智圖_XMind,Office;
freemind.desktop,心智圖_FreeMind,可輕鬆繪製心智圖、組織圖的工具軟體,心智圖_FreeMind,Office;
planner.desktop,專案管理_Planner,Planner 擁有大多數專案管理工具都有的功能，像是甘特圖。除此之外，Planner 還有其他獨特的功能，像是儲存為XML檔,專案管理_Planner,Office;
GanttProject.desktop,專案管理_GanttProject,GanttProject 是一套跨平台的專案管理工具，可用於專案規劃與管理,專案管理_GanttProject,Office;
calibre.desktop,電子書_Calibre,電子書閱讀軟體,電子書_Calibre,Office;
calibre-gui.desktop,電子書_Calibre-gui,Calibre 是一套功能算齊全的電子書管理工具，支援多種文件格式，它除了提供電子書閱讀的功能以外，還有管理、轉換及同步等功能。,電子書_Calibre-gui,Office;
calibre-ebook-viewer.desktop,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,Office;
calibre-lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,Office;
lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,Office;
okular.desktop,PDF瀏覽_Okular,多功能文件檢視器,PDF瀏覽_Okular,Office;
AdobeReader.desktop,PDF瀏覽_AdobeReader,Adobe 原廠的 PDF 瀏覽器,PDF瀏覽_AdobeReader,Office;
pdfedit.desktop,PDF編輯_PDF Editor,可直接編輯 PDF 檔中的文字及內容，並且可再另存新檔,PDF編輯_PDF Editor,Office;
pdfshuffler.desktop,PDF編輯_Shuffler,可輕易做到 PDF 格式合併，重新排列，分割，旋轉和裁剪,PDF編輯_Shuffler,Office;
xournal.desktop,PDF手繪筆記_Xournal,可在匯入 PDF 檔案後，在上面任意手寫、打字、畫彩色圖形線段、以及以螢光筆作記號,PDF手繪筆記_Xournal,Office;
impressive-editor.desktop,PDF簡報播放_Impressive,可以將 PDF 檔案當成簡報一樣播放的PDF簡報播放軟體,PDF簡報播放_Impressive,Office;
kaddressbook.desktop,通訊錄_KAddressbook,KDE 上的通訊錄程式,通訊錄_KAddressbook,Office;
gnucash.desktop,金融管理_GnuCash,一套複式簿記系統的記帳軟體，基本上的概念和會計相同,金融管理_GnuCash,Office;
sigil.desktop,電子書編輯_Sigil,一套可見即所得的電子書編輯軟體,電子書編輯_Sigil,Office;
qtqr.desktop,QR Code產生器_QtQR,QR Code 的產生器,QR Code產生器_QtQR,Office;
#美工,,,,
krita.desktop,筆刷繪圖_Krita,類似 OpenOffice Draw，功能強大的繪圖軟體,筆刷繪圖_Krita,Graphics;
kamoso.desktop,影像擷取_Kamoso,從您的網路攝影機中擷取圖片,影像擷取_Kamoso,Graphics;
display.im6.desktop,影像編輯_ImageMagick,影像編輯軟體,影像編輯_ImageMagick,Graphics;
skanlite.desktop,影像掃描_Skanlite,KDE 上的影像掃描軟體,影像掃描_Skanlite,Graphics;
gpaint.desktop,小畫家_GNU Paint,類似小畫家的繪圖軟體,小畫家_GNU Paint,Graphics;
kolourpaint.desktop,小畫家_KolourPaint,類似小畫家的繪圖軟體,小畫家_KolourPaint,Graphics;
tuxpaint.desktop,企鵝小畫家_TuxPaint,適合小朋友發揮創意，任意塗鴉的繪圖軟體,企鵝小畫家_TuxPaint,Graphics;
mypaint.desktop,筆刷繪圖_My Paint,內建四百種超炫筆刷的繪圖軟體,筆刷繪圖_My Paint,Graphics;
inkscape.desktop,向量繪圖_Inkscape,可建立 svg 向量圖檔的繪圖軟體，功能和界面類似 CorelDRAW,向量繪圖_Inkscape,Graphics;
gimp.desktop,影像處理_GIMP,具圖層應用功能的影像編輯和點陣繪圖軟體，功能和界面類似 Photoshop,影像處理_GIMP,Graphics;
